recipe_id,r_idx
40,0
49,1
58,2
62,3
66,4
93,5
112,6
142,7
143,8
150,9
153,10
167,11
172,12
186,13
187,14
192,15
198,16
203,17
232,18
242,19
246,20
271,21
278,22
280,23
310,24
314,25
324,26
346,27
361,28
376,29
378,30
414,31
432,32
445,33
456,34
464,35
502,36
506,37
512,38
519,39
536,40
543,41
544,42
548,43
556,44
558,45
561,46
565,47
567,48
571,49
593,50
601,51
604,52
605,53
607,54
609,55
615,56
617,57
632,58
634,59
636,60
638,61
642,62
647,63
648,64
665,65
693,66
719,67
747,68
749,69
754,70
773,71
777,72
778,73
780,74
809,75
820,76
822,77
825,78
834,79
860,80
897,81
916,82
930,83
931,84
932,85
962,86
965,87
970,88
992,89
1005,90
1035,91
1042,92
1048,93
1133,94
1136,95
1151,96
1157,97
1207,98
1217,99
1236,100
1267,101
1293,102
1306,103
1317,104
1320,105
1356,106
1423,107
1438,108
1481,109
1522,110
1557,111
1581,112
1600,113
1602,114
1633,115
1693,116
1721,117
1746,118
1861,119
1873,120
1904,121
1982,122
1985,123
2015,124
2032,125
2056,126
2066,127
2072,128
2111,129
2137,130
2146,131
2189,132
2238,133
2267,134
2364,135
2393,136
2462,137
2474,138
2496,139
2498,140
2509,141
2510,142
2526,143
2535,144
2537,145
2561,146
2576,147
2611,148
2625,149
2641,150
2658,151
2663,152
2670,153
2677,154
2688,155
2695,156
2707,157
2708,158
2713,159
2767,160
2772,161
2781,162
2783,163
2791,164
2814,165
2815,166
2862,167
2872,168
2885,169
2886,170
2901,171
2930,172
2941,173
2973,174
2987,175
3009,176
3010,177
3034,178
3037,179
3049,180
3051,181
3057,182
3091,183
3092,184
3094,185
3103,186
3121,187
3157,188
3158,189
3161,190
3166,191
3168,192
3180,193
3250,194
3284,195
3285,196
3286,197
3294,198
3313,199
3333,200
3351,201
3368,202
3370,203
3397,204
3400,205
3408,206
3431,207
3436,208
3439,209
3441,210
3451,211
3464,212
3470,213
3471,214
3472,215
3493,216
3503,217
3517,218
3520,219
3547,220
3556,221
3559,222
3560,223
3567,224
3568,225
3570,226
3577,227
3579,228
3591,229
3594,230
3595,231
3598,232
3600,233
3602,234
3603,235
3609,236
3610,237
3616,238
3623,239
3624,240
3630,241
3653,242
3668,243
3683,244
3687,245
3689,246
3704,247
3711,248
3713,249
3714,250
3730,251
3731,252
3741,253
3742,254
3745,255
3748,256
3771,257
3779,258
3782,259
3794,260
3800,261
3805,262
3806,263
3834,264
3846,265
3857,266
3860,267
3868,268
3877,269
3888,270
3900,271
3929,272
3954,273
3975,274
3983,275
3988,276
4007,277
4018,278
4042,279
4049,280
4050,281
4052,282
4065,283
4075,284
4079,285
4121,286
4139,287
4141,288
4143,289
4146,290
4150,291
4151,292
4178,293
4184,294
4205,295
4218,296
4219,297
4261,298
4263,299
4271,300
4285,301
4290,302
4292,303
4294,304
4330,305
4332,306
4344,307
4366,308
4368,309
4369,310
4370,311
4393,312
4394,313
4395,314
4410,315
4414,316
4417,317
4423,318
4436,319
4444,320
4450,321
4451,322
4460,323
4469,324
4471,325
4485,326
4545,327
4546,328
4560,329
4571,330
4573,331
4608,332
4627,333
4637,334
4661,335
4663,336
4667,337
4682,338
4683,339
4684,340
4724,341
4736,342
4764,343
4765,344
4779,345
4788,346
4807,347
4811,348
4833,349
4840,350
4843,351
4861,352
4873,353
4875,354
4876,355
4877,356
4892,357
4897,358
4900,359
4917,360
4952,361
4957,362
4968,363
4973,364
4981,365
5000,366
5008,367
5015,368
5018,369
5024,370
5030,371
5031,372
5033,373
5046,374
5083,375
5096,376
5122,377
5144,378
5170,379
5174,380
5184,381
5188,382
5190,383
5209,384
5229,385
5234,386
5237,387
5245,388
5247,389
5274,390
5277,391
5287,392
5297,393
5298,394
5319,395
5322,396
5366,397
5368,398
5398,399
5418,400
5429,401
5434,402
5447,403
5453,404
5459,405
5465,406
5477,407
5478,408
5483,409
6442,410
6449,411
6469,412
6505,413
6521,414
6547,415
6548,416
6570,417
6572,418
6582,419
6583,420
6584,421
6602,422
6610,423
6614,424
6621,425
6627,426
6629,427
6633,428
6640,429
6670,430
6680,431
6737,432
6757,433
6790,434
6814,435
6848,436
6849,437
6854,438
6873,439
6879,440
6886,441
6913,442
6916,443
6919,444
6930,445
6932,446
6952,447
6957,448
6971,449
6975,450
6995,451
7006,452
7019,453
7020,454
7027,455
7029,456
7036,457
7066,458
7067,459
7086,460
7098,461
7101,462
7129,463
7182,464
7195,465
7224,466
7232,467
7311,468
7333,469
7340,470
7356,471
7359,472
7373,473
7397,474
7404,475
7411,476
7413,477
7417,478
7435,479
7449,480
7455,481
7461,482
7470,483
7478,484
7537,485
7551,486
7553,487
7556,488
7572,489
7589,490
7595,491
7602,492
7612,493
7614,494
7629,495
7640,496
7667,497
7674,498
7695,499
7702,500
7722,501
7746,502
7748,503
7763,504
7767,505
7773,506
7788,507
7792,508
7793,509
7798,510
7809,511
7812,512
7817,513
7819,514
7829,515
7841,516
7843,517
7875,518
7883,519
7886,520
7888,521
7910,522
7913,523
7926,524
7932,525
7941,526
7949,527
7968,528
7974,529
7977,530
8002,531
8039,532
8052,533
8053,534
8054,535
8060,536
8061,537
8081,538
8099,539
8106,540
8109,541
8131,542
8167,543
8233,544
8260,545
8264,546
8300,547
8309,548
8339,549
8364,550
8374,551
8380,552
8384,553
8392,554
8418,555
8419,556
8423,557
8424,558
8432,559
8449,560
8453,561
8468,562
8486,563
8489,564
8490,565
8491,566
8499,567
8506,568
8507,569
8509,570
8514,571
8531,572
8534,573
8542,574
8547,575
8554,576
8556,577
8560,578
8562,579
8566,580
8567,581
8574,582
8575,583
8579,584
8581,585
8587,586
8590,587
8592,588
8595,589
8596,590
8599,591
8603,592
8613,593
8619,594
8620,595
8626,596
8634,597
8635,598
8637,599
8650,600
8654,601
8661,602
8665,603
8668,604
8673,605
8674,606
8691,607
8701,608
8706,609
8726,610
8730,611
8739,612
8745,613
8750,614
8757,615
8763,616
8765,617
8773,618
8782,619
8788,620
8790,621
8791,622
8792,623
8794,624
8798,625
8802,626
8806,627
8813,628
8814,629
8816,630
8823,631
8826,632
8843,633
8844,634
8845,635
8846,636
8847,637
8857,638
8877,639
8880,640
8882,641
8892,642
8899,643
8902,644
8935,645
8936,646
8938,647
8948,648
8949,649
8968,650
8969,651
8970,652
8972,653
8996,654
9004,655
9015,656
9019,657
9023,658
9028,659
9029,660
9032,661
9039,662
9050,663
9054,664
9055,665
9058,666
9060,667
9064,668
9073,669
9085,670
9107,671
9108,672
9114,673
9115,674
9120,675
9125,676
9144,677
9154,678
9155,679
9156,680
9165,681
9166,682
9168,683
9177,684
9186,685
9213,686
9228,687
9232,688
9235,689
9240,690
9254,691
9259,692
9265,693
9267,694
9270,695
9272,696
9280,697
9325,698
9327,699
9347,700
9361,701
9363,702
9370,703
9388,704
9394,705
9397,706
9400,707
9407,708
9409,709
9413,710
9421,711
9425,712
9429,713
9430,714
9447,715
9456,716
9457,717
9458,718
9484,719
9490,720
9494,721
9497,722
9499,723
9503,724
9505,725
9506,726
9518,727
9526,728
9531,729
9533,730
9538,731
9539,732
9548,733
9556,734
9683,735
9713,736
9715,737
9732,738
9736,739
9742,740
9746,741
9756,742
9757,743
9769,744
9770,745
9773,746
9775,747
9780,748
9781,749
9782,750
9808,751
9822,752
9832,753
9836,754
9842,755
9845,756
9849,757
9850,758
9852,759
9872,760
9906,761
9948,762
9954,763
9962,764
9970,765
9973,766
9993,767
9998,768
10045,769
10046,770
10053,771
10075,772
10078,773
10080,774
10088,775
10090,776
10094,777
10095,778
10096,779
10104,780
10111,781
10113,782
10117,783
10123,784
10124,785
10125,786
10127,787
10140,788
10145,789
10155,790
10162,791
10185,792
10190,793
10191,794
10196,795
10197,796
10198,797
10203,798
10205,799
10208,800
10211,801
10216,802
10234,803
10239,804
10251,805
10266,806
10273,807
10288,808
10294,809
10296,810
10306,811
10309,812
10318,813
10322,814
10331,815
10332,816
10338,817
10342,818
10348,819
10367,820
10372,821
10382,822
10385,823
10392,824
10404,825
10406,826
10410,827
10413,828
10430,829
10440,830
10443,831
10445,832
10452,833
10455,834
10464,835
10465,836
10467,837
10468,838
10478,839
10481,840
10498,841
10507,842
10510,843
10528,844
10543,845
10554,846
10579,847
10580,848
10584,849
10589,850
10600,851
10607,852
10620,853
10623,854
10628,855
10633,856
10661,857
10696,858
10698,859
10700,860
10705,861
10716,862
10721,863
10722,864
10729,865
10744,866
10753,867
10757,868
10759,869
10785,870
10786,871
10788,872
10794,873
10803,874
10804,875
10808,876
10810,877
10813,878
10833,879
10834,880
10836,881
10837,882
10839,883
10840,884
10850,885
10852,886
10860,887
10865,888
10870,889
10876,890
10883,891
10889,892
10922,893
10928,894
10929,895
10939,896
10949,897
10955,898
10958,899
10965,900
10977,901
10986,902
10990,903
11012,904
11020,905
11025,906
11028,907
11030,908
11031,909
11037,910
11040,911
11057,912
11061,913
11067,914
11076,915
11078,916
11094,917
11107,918
11119,919
11135,920
11138,921
11146,922
11155,923
11156,924
11162,925
11171,926
11172,927
11177,928
11189,929
11194,930
11197,931
11200,932
11209,933
11217,934
11231,935
11233,936
11252,937
11262,938
11264,939
11266,940
11267,941
11277,942
11278,943
11284,944
11290,945
11297,946
11326,947
11329,948
11345,949
11347,950
11358,951
11363,952
11365,953
11367,954
11369,955
11382,956
11386,957
11390,958
11397,959
11417,960
11420,961
11425,962
11427,963
11433,964
11445,965
11456,966
11458,967
11460,968
11470,969
11474,970
11476,971
11482,972
11485,973
11487,974
11489,975
11502,976
11510,977
11514,978
11516,979
11517,980
11522,981
11523,982
11527,983
11530,984
11535,985
11538,986
11544,987
11548,988
11550,989
11558,990
11560,991
11574,992
11586,993
11595,994
11616,995
11624,996
11630,997
11641,998
11642,999
11644,1000
11649,1001
11655,1002
11658,1003
11660,1004
11661,1005
11668,1006
11677,1007
11686,1008
11687,1009
11697,1010
11699,1011
11702,1012
11706,1013
11707,1014
11727,1015
11732,1016
11734,1017
11735,1018
11749,1019
11753,1020
11756,1021
11757,1022
11763,1023
11764,1024
11770,1025
11789,1026
11791,1027
11795,1028
11803,1029
11808,1030
11811,1031
11813,1032
11818,1033
11824,1034
11827,1035
11839,1036
11848,1037
11860,1038
11868,1039
11882,1040
11886,1041
11904,1042
11912,1043
11913,1044
11914,1045
11915,1046
11919,1047
11923,1048
11930,1049
11952,1050
11959,1051
11961,1052
11984,1053
12019,1054
12021,1055
12026,1056
12033,1057
12042,1058
12044,1059
12055,1060
12061,1061
12067,1062
12075,1063
12077,1064
12080,1065
12083,1066
12094,1067
12097,1068
12103,1069
12105,1070
12114,1071
12115,1072
12121,1073
12122,1074
12125,1075
12134,1076
12140,1077
12143,1078
12157,1079
12166,1080
12173,1081
12181,1082
12186,1083
12194,1084
12199,1085
12200,1086
12201,1087
12207,1088
12210,1089
12220,1090
12223,1091
12227,1092
12232,1093
12244,1094
12247,1095
12249,1096
12253,1097
12260,1098
12263,1099
12264,1100
12268,1101
12275,1102
12278,1103
12291,1104
12295,1105
12298,1106
12309,1107
12312,1108
12313,1109
12314,1110
12316,1111
12333,1112
12340,1113
12345,1114
