System,RMSE,MAE,Precision@5,Recall@5,Precision@10,Recall@10,Precision@20,Recall@20,CSR
Popularity,—,—,0.017711,0.014726,0.015134,0.023895,0.012408,0.038986,N/A
UB-CF,0.6177,0.3656,0.000308,0.000142,0.000341,0.000362,0.00033,0.000812,N/A
SVD,0.5616,0.3548,0.005595,0.003922,0.004615,0.006117,0.003552,0.009095,N/A
UB-CF + Hard,—,—,0.002386,0.001195,0.001193,0.001195,0.000596,0.001195,100.0%
UB-CF + Soft,—,—,0.000932,0.000603,0.000554,0.000653,0.000283,0.000656,100.0%
SVD + Hard,—,—,0.011491,0.006174,0.005746,0.006174,0.002873,0.006174,100.0%
SVD + Soft,—,—,0.009027,0.006479,0.005584,0.007058,0.002909,0.007121,100.0%
